word,meaning
الحلو حلو لو قام من النوم والبشع بشع لو تحمم كل يوم,ס. אדם היפה באופן טבעי יהיה תמיד יפה ואדם מכוער לעולם יהיה מכוער
طرة او نقشة,ס. עץ או פלי
تشنكح,ס. ליפול על הארץ; לרדת לרמה נמוכה (מטאפורית)
غبّش,"ס. להתחיל להיות מואר (יום), להתחיל להנץ (שחר או בוקר)"
سنكوح,מ. לא יוצלח
عانس,אישה מבוגרת שלא התחתנה
الله بيعطي الحلاوة لاللي ما اله ضراس,ס. ה' נותן אגוזים למי שאין לו שיניים
طحبش,"ס. שבר, ניפץ, ניתץ; להתקל (במשהו), להיתקע (פיזית במשהו)"
ملقّح,סיפון; מיכל מים (בשירותים)
سيفون,מחוסן
ما بينعز عنك,"ס. אין יקר ממך, אתה היקר לי ביותר (מחמאה)"
واضح متل عين الشمس,ס. ברור כשמש
خير الكلام ما قل ودل,ס. עדיף להיות קצר וקולע
مشنّص / مشمّص,"ס. בר מזל, שמזלו שפר עליו (מהמילה צ'אנס); אקראי, שלא במכוון"
لبّش,"ס. התכונן, הכין את עצמו; הכין את- ל- (ه..ل..)"
وليمة,סעודה
وشيك,"ממשמש ובא, קרב"
مناوئ,"יריב, אוייב"
ذنيبة = أبو ذنيبة,"אשמה, עונש; עוולה"
ساطور(ج)سواطير,מצ'טה
منجل(ج)مناجل,מגל
خصميّة,"פ. הנחה, הוזלה"
عشّم,"מ. עורר תקווה, גרם ל- להימלא תקווה"
عشمان,מ. מלא תקווה
خافت,"עמום, חלש (אור)"
باصّى,מ. העביר את- ל- (ه-ل-)
قرقع,"מ. פטפט, אמר דברי הבל"
حلوان=حلوانة,"מ. פרס, מענק, תשר"
دقّ ايده على صدره,"נשבע, התחייב, הבטיח"
يا خبر ابيض=يا خبر اسود,מ. שוד ושבר!
برضو,"מ. גם כן, גם; כמו כן; בכל זאת, למרות"
جعاري,מ. כלב פשוט
داحول=ضيخ,מ. כלב
ساجور=وذيعة,מ. חגורה לכלב
كوج,מ. כלבלב
بطيخة مسكّرة,מ. חתול בשק
داحول,מ. גלגל; כלב; גלגלית
